Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Tania,2020-11-11 20:06:22,00:07:44,,"Sister, Sister: Season 2: Tattoo (Episode 8)",,Google Chromecast streaming stick,00:08:01,Not latest view,ZA (South Africa)
Tania,2020-11-11 20:00:19,00:05:54,,"Sister, Sister: Season 2: Operation: Deja View (Episode 7)",,Google Chromecast streaming stick,00:21:47,00:21:47,ZA (South Africa)
Tania,2020-11-11 16:59:19,00:37:19,,The Princess Switch,,Hisense MTK5657 on UHD platform Smart TV,01:36:35,01:36:35,ZA (South Africa)
Tania,2020-11-11 15:52:03,00:26:25,,The Princess Switch,,Hisense MTK5657 on UHD platform Smart TV,00:59:17,Not latest view,ZA (South Africa)
Tania,2020-11-11 14:54:43,00:32:53,,The Princess Switch,,Hisense MTK5657 on UHD platform Smart TV,00:32:53,Not latest view,ZA (South Africa)
Antonio,2020-11-11 14:24:45,01:33:18,,Operation Christmas Drop,,Hisense DB MSD6586 4.3 on UHD platform Smart TV,01:29:22,01:29:22,ZA (South Africa)
Antonio,2020-11-11 14:24:08,00:00:07,Autoplayed: user action: None; ,Trailer: Operation Christmas Drop,TRAILER,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:00:07,00:00:07,ZA (South Africa)
Tania,2020-11-11 13:10:53,00:15:26,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Operation: Deja View (Episode 7)",,Hisense MTK5657 on UHD platform Smart TV,00:15:53,Not latest view,ZA (South Africa)
Tania,2020-11-11 13:02:14,00:08:37,,"Sister, Sister: Season 2: Free Billy (Episode 6)",,Hisense MTK5657 on UHD platform Smart TV,00:22:48,00:22:48,ZA (South Africa)
Tania,2020-11-11 08:01:25,00:15:04,,"Sister, Sister: Season 2: Free Billy (Episode 6)",,Google Chromecast streaming stick,00:15:04,Not latest view,ZA (South Africa)
Tania,2020-11-11 07:44:56,00:16:20,,"Sister, Sister: Season 2: It's a Love Thang (Episode 5)",,Google Chromecast streaming stick,00:21:42,00:21:42,ZA (South Africa)
Antonio,2020-11-11 06:56:49,00:13:33,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Bow Tie Asymmetry (Episode 24),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:13:33,00:13:33,ZA (South Africa)
Tania,2020-11-11 06:50:11,00:04:55,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: It's a Love Thang (Episode 5)",,Hisense MTK5657 on UHD platform Smart TV,00:05:23,Not latest view,ZA (South Africa)
Antonio,2020-11-11 06:46:45,00:09:57,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Sibling Realignment (Episode 23),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:43,00:19:43,ZA (South Africa)
Tania,2020-11-11 06:28:54,00:21:12,,"Sister, Sister: Season 2: A Tall Tale (Episode 4)",,Hisense MTK5657 on UHD platform Smart TV,00:21:42,00:21:42,ZA (South Africa)
Tania,2020-11-10 20:05:55,00:00:02,Autoplayed: user action: None; ,"Sister, Sister: Season 2: A Tall Tale (Episode 4)",,Hisense MTK5657 on UHD platform Smart TV,00:00:02,Not latest view,ZA (South Africa)
Tania,2020-11-10 19:44:35,00:21:15,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Joey's Choice (Episode 3)",,Hisense MTK5657 on UHD platform Smart TV,00:21:45,00:21:45,ZA (South Africa)
Tania,2020-11-10 19:22:15,00:22:18,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Get a Job (Episode 2)",,Hisense MTK5657 on UHD platform Smart TV,00:22:41,00:22:41,ZA (South Africa)
Tania,2020-11-10 19:00:50,00:21:21,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 2: Hair Today (Episode 1)",,Hisense MTK5657 on UHD platform Smart TV,00:21:48,00:21:48,ZA (South Africa)
Tania,2020-11-10 18:39:53,00:20:53,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 1: The Concert (Episode 12)",,Hisense MTK5657 on UHD platform Smart TV,00:21:46,00:21:46,ZA (South Africa)
Tania,2020-11-10 18:32:30,00:06:47,,"Sister, Sister: Season 1: Mothers and Other Strangers (Episode 11)",,Hisense MTK5657 on UHD platform Smart TV,00:21:48,00:21:48,ZA (South Africa)
Tania,2020-11-10 15:13:41,00:00:16,,DASH & LILY: Season 1: Dash (Episode 1),,Hisense MTK5657 on UHD platform Smart TV,00:00:16,00:00:16,ZA (South Africa)
Tania,2020-11-10 10:36:37,00:15:23,,"Sister, Sister: Season 1: Mothers and Other Strangers (Episode 11)",,Google Chromecast streaming stick,00:15:23,Not latest view,ZA (South Africa)
Tania,2020-11-10 10:15:04,00:21:22,,"Sister, Sister: Season 1: Love Strikes (Episode 10)",,Google Chromecast streaming stick,00:21:44,00:21:44,ZA (South Africa)
Tania,2020-11-10 10:05:54,00:09:01,,"Sister, Sister: Season 1: The Birthday (Episode 9)",,Google Chromecast streaming stick,00:21:44,00:21:44,ZA (South Africa)
Tania,2020-11-10 09:49:41,00:12:44,Autoplayed: user action: None; ,"Sister, Sister: Season 1: The Birthday (Episode 9)",,Hisense MTK5657 on UHD platform Smart TV,00:12:44,Not latest view,ZA (South Africa)
Tania,2020-11-10 09:30:59,00:18:38,,"Sister, Sister: Season 1: Car Trouble (Episode 8)",,Hisense MTK5657 on UHD platform Smart TV,00:22:35,00:22:35,ZA (South Africa)
Antonio,2020-11-10 07:14:51,00:00:10,Autoplayed: user action: None; ,The Big Bang Theory: Season 1_hook_primary_16x9,HOOK,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:00:10,00:00:10,ZA (South Africa)
Antonio,2020-11-10 07:04:50,00:09:47,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Sibling Realignment (Episode 23),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:09:47,Not latest view,ZA (South Africa)
Tania,2020-11-10 07:00:30,00:03:04,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 1: Car Trouble (Episode 8)",,Hisense MTK5657 on UHD platform Smart TV,00:03:57,Not latest view,ZA (South Africa)
Antonio,2020-11-10 06:50:55,00:13:44,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Monetary Insufficiency (Episode 22),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:18:41,00:18:41,ZA (South Africa)
Tania,2020-11-10 06:39:31,00:20:58,,"Sister, Sister: Season 1: The Pimple (Episode 7)",,Hisense MTK5657 on UHD platform Smart TV,00:21:48,00:21:48,ZA (South Africa)
Tania,2020-11-09 20:25:56,00:22:08,,"Sister, Sister: Season 1: Out Alone (Episode 6)",,Google Chromecast streaming stick,00:22:46,00:22:46,ZA (South Africa)
Antonio,2020-11-09 20:04:50,00:05:58,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Monetary Insufficiency (Episode 22),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:05:58,Not latest view,ZA (South Africa)
Tania,2020-11-09 20:04:02,00:21:43,,"Sister, Sister: Season 1: Wedding Bells & Box Boys (Episode 5)",,Google Chromecast streaming stick,00:21:43,00:21:43,ZA (South Africa)
Tania,2020-11-09 20:03:24,00:00:06,,Season 1 Trailer: Over Christmas,TRAILER,DefaultWidevineAndroidPhone,00:00:06,00:00:06,ZA (South Africa)
Tania,2020-11-09 20:02:43,00:00:16,,Trailer: Selena: The Series: Part 1,TRAILER,DefaultWidevineAndroidPhone,00:00:16,00:00:16,ZA (South Africa)
Tania,2020-11-09 20:02:31,00:00:04,,Season 1 Trailer: DASH & LILY,TRAILER,DefaultWidevineAndroidPhone,00:00:04,00:00:04,ZA (South Africa)
Tania,2020-11-09 20:02:24,00:00:06,,Season 2 Trailer: Sugar Rush Christmas,TRAILER,DefaultWidevineAndroidPhone,00:00:06,00:00:06,ZA (South Africa)
Antonio,2020-11-09 19:44:40,00:20:06,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Comet Polarization (Episode 21),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:06,00:20:06,ZA (South Africa)
Tania,2020-11-09 19:33:30,00:22:07,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 1: Cheater, Cheater (Episode 4)",,Hisense MTK5657 on UHD platform Smart TV,00:23:01,00:23:01,ZA (South Africa)
Antonio,2020-11-09 19:22:28,00:20:25,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Reclusive Potential (Episode 20),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:42,00:20:42,ZA (South Africa)
Antonio,2020-11-09 19:20:56,00:01:24,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Tenant Disassociation (Episode 19),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:17,00:20:17,ZA (South Africa)
Antonio,2020-11-09 19:20:37,00:00:16,Autoplayed: user action: None; ,The Big Bang Theory: Season 1_hook_primary_16x9,HOOK,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:00:17,Not latest view,ZA (South Africa)
Tania,2020-11-09 19:12:07,00:21:18,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 1: Slumber Party (Episode 3)",,Hisense MTK5657 on UHD platform Smart TV,00:21:43,00:21:43,ZA (South Africa)
Tania,2020-11-09 18:49:38,00:22:24,Autoplayed: user action: Unspecified; ,"Sister, Sister: Season 1: First Dates (Episode 2)",,Hisense MTK5657 on UHD platform Smart TV,00:23:14,00:23:14,ZA (South Africa)
Tania,2020-11-09 18:26:48,00:21:44,,"Sister, Sister: Season 1: The Meeting (Episode 1)",,Hisense MTK5657 on UHD platform Smart TV,00:21:44,00:21:44,ZA (South Africa)
Manuel,2020-11-09 17:28:40,00:01:23,Autoplayed: user action: None; ,The Losers_hook_primary_16x9,HOOK,Hisense MTK5657 on UHD platform Smart TV,00:01:23,00:01:23,ZA (South Africa)
Manuel,2020-11-09 16:20:56,01:07:38,,The Karate Kid,,Hisense MTK5657 on UHD platform Smart TV,02:03:30,02:03:30,ZA (South Africa)
Tania,2020-11-09 15:41:53,00:32:31,Autoplayed: user action: None; ,Emily in Paris: Season 1: Cancel Couture (Episode 10),,Hisense MTK5657 on UHD platform Smart TV,00:32:39,00:32:39,ZA (South Africa)
Antonio,2020-11-09 15:40:20,00:18:55,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Tenant Disassociation (Episode 19),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:18:55,Not latest view,ZA (South Africa)
Antonio,2020-11-09 15:20:26,00:19:51,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Gates Excitation (Episode 18),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:51,00:19:51,ZA (South Africa)
Tania,2020-11-09 15:19:37,00:22:09,Autoplayed: user action: None; ,Emily in Paris: Season 1: An American Auction in Paris (Episode 9),,Hisense MTK5657 on UHD platform Smart TV,00:22:17,00:22:17,ZA (South Africa)
Tania,2020-11-09 15:12:03,00:07:03,,Emily in Paris: Season 1: Family Affair (Episode 8),,Hisense MTK5657 on UHD platform Smart TV,00:27:13,00:27:13,ZA (South Africa)
Antonio,2020-11-09 15:00:15,00:20:06,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Athenaeum Allocation (Episode 17),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:06,00:20:06,ZA (South Africa)
Antonio,2020-11-09 14:41:35,00:18:27,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Neonatal Nomenclature (Episode 16),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:18:27,00:18:27,ZA (South Africa)
Antonio,2020-11-09 14:21:29,00:20:02,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Novelization Correlation (Episode 15),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:37,00:20:37,ZA (South Africa)
Antonio,2020-11-09 14:02:22,00:19:01,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Separation Triangulation (Episode 14),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:01,00:19:01,ZA (South Africa)
Antonio,2020-11-09 13:41:02,00:20:52,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Solo Oscillation (Episode 13),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:52,00:20:52,ZA (South Africa)
Antonio,2020-11-09 13:21:01,00:19:56,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Matrimonial Metric (Episode 12),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:56,00:19:56,ZA (South Africa)
Antonio,2020-11-09 13:02:27,00:18:29,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Celebration Reverberation (Episode 11),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:21,00:19:21,ZA (South Africa)
Tania,2020-11-09 13:02:07,01:28:58,,Christmas With A View,,Google Chromecast streaming stick,01:28:58,01:28:58,ZA (South Africa)
Tania,2020-11-09 12:52:47,00:04:25,,Emily in Paris: Season 1: Family Affair (Episode 8),,Hisense MTK5657 on UHD platform Smart TV,00:20:10,Not latest view,ZA (South Africa)
Antonio,2020-11-09 12:41:36,00:20:47,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Confidence Erosion (Episode 10),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:21:03,00:21:03,ZA (South Africa)
Antonio,2020-11-09 12:22:52,00:18:32,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Bitcoin Entanglement (Episode 9),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:18:32,00:18:32,ZA (South Africa)
Antonio,2020-11-09 12:04:20,00:18:28,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Tesla Recoil (Episode 8),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:18:28,00:18:28,ZA (South Africa)
Antonio,2020-11-09 11:45:05,00:19:11,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Geology Methodology (Episode 7),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:11,00:19:11,ZA (South Africa)
Antonio,2020-11-09 11:24:11,00:00:01,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Proton Regeneration (Episode 6),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:00:01,00:00:01,ZA (South Africa)
Tania,2020-11-09 10:59:11,00:15:38,Autoplayed: user action: None; ,Emily in Paris: Season 1: Family Affair (Episode 8),,Hisense MTK5657 on UHD platform Smart TV,00:15:46,Not latest view,ZA (South Africa)
Tania,2020-11-09 10:33:05,00:26:01,Autoplayed: user action: None; ,Emily in Paris: Season 1: French Ending (Episode 7),,Hisense MTK5657 on UHD platform Smart TV,00:26:09,00:26:09,ZA (South Africa)
Tania,2020-11-09 10:25:07,00:07:52,,Emily in Paris: Season 1: Ringarde (Episode 6),,Hisense MTK5657 on UHD platform Smart TV,00:27:40,00:27:40,ZA (South Africa)
Tania,2020-11-09 09:39:24,00:00:19,,Emily in Paris: Season 1: Ringarde (Episode 6),,Google Chromecast streaming stick,00:19:49,Not latest view,ZA (South Africa)
Kenzou,2020-11-09 09:23:06,00:15:34,,Dragons: Rescue Riders: Hunt for the Golden Dragon,,Google Chromecast streaming stick,00:45:20,00:45:20,ZA (South Africa)
Antonio,2020-11-09 09:13:11,00:18:42,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Collaboration Contamination (Episode 5),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:18:42,00:18:42,ZA (South Africa)
Antonio,2020-11-09 08:52:45,00:20:21,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Explosion Implosion (Episode 4),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:21,00:20:21,ZA (South Africa)
Antonio,2020-11-09 08:32:44,00:19:56,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Relaxation Integration (Episode 3),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:56,00:19:56,ZA (South Africa)
Antonio,2020-11-09 08:24:52,00:06:23,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Retraction Reaction (Episode 2),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:54,00:20:54,ZA (South Africa)
Tania,2020-11-09 07:26:10,00:19:23,Autoplayed: user action: None; ,Emily in Paris: Season 1: Ringarde (Episode 6),,Hisense MTK5657 on UHD platform Smart TV,00:19:31,Not latest view,ZA (South Africa)
Tania,2020-11-09 07:12:29,00:13:34,,Emily in Paris: Season 1: Faux Amis (Episode 5),,Hisense MTK5657 on UHD platform Smart TV,00:24:46,00:24:46,ZA (South Africa)
Tania,2020-11-08 19:16:53,00:11:03,Autoplayed: user action: None; ,Emily in Paris: Season 1: Faux Amis (Episode 5),,Hisense MTK5657 on UHD platform Smart TV,00:11:11,Not latest view,ZA (South Africa)
Tania,2020-11-08 18:51:31,00:25:16,Autoplayed: user action: None; ,Emily in Paris: Season 1: A Kiss Is Just A Kiss (Episode 4),,Hisense MTK5657 on UHD platform Smart TV,00:25:24,00:25:24,ZA (South Africa)
Tania,2020-11-08 18:34:23,00:17:02,,Emily in Paris: Season 1: Sexy or Sexist (Episode 3),,Hisense MTK5657 on UHD platform Smart TV,00:24:38,00:24:38,ZA (South Africa)
Manuel,2020-11-08 18:21:32,00:18:34,,The Flash: Season 1: Fastest Man Alive (Episode 2),,Google Chromecast streaming stick,00:18:34,00:18:34,ZA (South Africa)
Manuel,2020-11-08 18:17:42,00:03:42,,The Flash: Season 1: Pilot (Episode 1),,Google Chromecast streaming stick,00:43:56,00:43:56,ZA (South Africa)
Manuel,2020-11-08 17:28:30,00:43:57,,The Karate Kid,,Hisense MTK5657 on UHD platform Smart TV,00:55:53,Not latest view,ZA (South Africa)
Manuel,2020-11-08 17:15:57,00:12:28,,The Karate Kid,,Hisense MTK5657 on UHD platform Smart TV,00:12:28,Not latest view,ZA (South Africa)
Tania,2020-11-08 16:01:25,00:07:29,Autoplayed: user action: Unspecified; ,Emily in Paris: Season 1: Sexy or Sexist (Episode 3),,Hisense MTK5657 on UHD platform Smart TV,00:07:37,Not latest view,ZA (South Africa)
Tania,2020-11-08 15:36:32,00:24:47,Autoplayed: user action: None; ,Emily in Paris: Season 1: Masculin Féminin (Episode 2),,Hisense MTK5657 on UHD platform Smart TV,00:24:55,00:24:55,ZA (South Africa)
Tania,2020-11-08 15:33:05,00:03:23,,Emily in Paris: Season 1: Emily in Paris (Episode 1),,Hisense MTK5657 on UHD platform Smart TV,00:28:01,00:28:01,ZA (South Africa)
Tania,2020-11-08 07:32:07,00:24:38,,Emily in Paris: Season 1: Emily in Paris (Episode 1),,Hisense MTK5657 on UHD platform Smart TV,00:24:38,Not latest view,ZA (South Africa)
Antonio,2020-11-07 22:11:02,00:10:34,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Retraction Reaction (Episode 2),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:14:31,Not latest view,ZA (South Africa)
Manuel,2020-11-07 21:10:23,01:02:30,,Ninja 2: Shadow of a Tear,,Hisense MTK5657 on UHD platform Smart TV,01:01:16,01:01:16,ZA (South Africa)
Manuel,2020-11-07 21:10:13,00:00:02,,Ninja 2: Shadow of a Tear,,Hisense MTK5657 on UHD platform Smart TV,00:00:02,Not latest view,ZA (South Africa)
Tania,2020-11-07 18:31:10,00:09:46,Autoplayed: user action: Unspecified; ,Unsolved Mysteries: Volume 2: Death Row Fugitive (Episode 3),,Hisense MTK5657 on UHD platform Smart TV,00:10:12,00:10:12,ZA (South Africa)
Tania,2020-11-07 18:03:41,00:27:22,,Unsolved Mysteries: Volume 2: A Death in Oslo (Episode 2),,Hisense MTK5657 on UHD platform Smart TV,00:41:53,00:41:53,ZA (South Africa)
Tania,2020-11-07 17:29:04,00:23:39,Autoplayed: user action: None; ,Dream Home Makeover: Season 1: Grand Kitchen Deployment (Episode 6),,Hisense MTK5657 on UHD platform Smart TV,00:23:43,00:23:43,ZA (South Africa)
Tania,2020-11-07 17:07:14,00:21:45,,Dream Home Makeover: Season 1: Historic Home Renovation (Episode 5),,Hisense MTK5657 on UHD platform Smart TV,00:21:45,00:21:45,ZA (South Africa)
Manuel,2020-11-07 07:31:03,00:40:16,,The Flash: Season 1: Pilot (Episode 1),,Hisense MTK5657 on UHD platform Smart TV,00:40:16,Not latest view,ZA (South Africa)
Tania,2020-11-06 20:26:30,00:27:25,Autoplayed: user action: None; ,Dream Home Makeover: Season 1: Los Angeles Hideaway (Episode 4),,Hisense MTK5657 on UHD platform Smart TV,00:27:29,00:27:29,ZA (South Africa)
Tania,2020-11-06 19:44:06,00:25:27,,Dream Home Makeover: Season 1: Movie Room Remake (Episode 3),,Hisense MTK5657 on UHD platform Smart TV,00:26:11,00:26:11,ZA (South Africa)
Tania,2020-11-06 15:43:00,00:00:41,Autoplayed: user action: None; ,Dream Home Makeover: Season 1: Movie Room Remake (Episode 3),,Hisense MTK5657 on UHD platform Smart TV,00:00:45,Not latest view,ZA (South Africa)
Tania,2020-11-06 15:13:59,00:26:45,,Dream Home Makeover: Season 1: Manor House Designs (Episode 2),,Hisense MTK5657 on UHD platform Smart TV,00:26:45,00:26:45,ZA (South Africa)
Kenzou,2020-11-06 11:04:29,00:00:01,,Super Monsters: Season 3: Moonlight Melody / The Impossible Seed (Episode 1),,DefaultWidevineAndroidPhone,00:00:01,00:00:01,ZA (South Africa)
Tania,2020-11-06 07:47:54,00:00:15,Autoplayed: user action: None; ,Dream Home Makeover: Season 1: Manor House Designs (Episode 2),,Hisense MTK5657 on UHD platform Smart TV,00:00:19,Not latest view,ZA (South Africa)
Tania,2020-11-06 07:19:40,00:28:10,,Dream Home Makeover: Season 1: Forever Home (Episode 1),,Hisense MTK5657 on UHD platform Smart TV,00:28:10,00:28:10,ZA (South Africa)
Antonio,2020-11-05 21:26:27,00:03:59,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Retraction Reaction (Episode 2),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:03:59,Not latest view,ZA (South Africa)
Antonio,2020-11-05 21:09:11,00:17:10,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 11: The Proposal Proposal (Episode 1),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:20:11,00:20:11,ZA (South Africa)
Antonio,2020-11-05 21:08:26,00:00:13,Autoplayed: user action: None; ,Trailer: Operation Christmas Drop,TRAILER,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:00:13,Not latest view,ZA (South Africa)
Tania,2020-11-05 19:31:38,00:04:27,,Christmas Wonderland,,Google Chromecast streaming stick,01:25:07,01:25:07,ZA (South Africa)
Tania,2020-11-05 18:12:51,01:04:03,,Christmas Wonderland,,Hisense MTK5657 on UHD platform Smart TV,01:19:03,Not latest view,ZA (South Africa)
Tania,2020-11-05 12:46:53,00:15:00,,Christmas Wonderland,,Hisense MTK5657 on UHD platform Smart TV,00:15:00,Not latest view,ZA (South Africa)
Tania,2020-11-05 12:08:24,00:04:11,,Operation Christmas Drop,,Google Chromecast streaming stick,01:33:17,01:33:17,ZA (South Africa)
Tania,2020-11-05 11:48:34,00:18:58,,Operation Christmas Drop,,Google Chromecast streaming stick,01:27:03,Not latest view,ZA (South Africa)
Tania,2020-11-05 10:37:57,00:17:36,,Operation Christmas Drop,,Google Chromecast streaming stick,01:08:09,Not latest view,ZA (South Africa)
Tania,2020-11-05 08:59:09,00:50:34,,Operation Christmas Drop,,Hisense MTK5657 on UHD platform Smart TV,00:50:34,Not latest view,ZA (South Africa)
Tania,2020-11-04 19:37:38,00:47:19,,The Losers,,Google Chromecast streaming stick,01:32:58,01:32:58,ZA (South Africa)
Tania,2020-11-04 18:39:31,00:45:58,,The Losers,,Hisense MTK5657 on UHD platform Smart TV,00:45:58,Not latest view,ZA (South Africa)
Tania,2020-11-04 17:57:17,00:00:14,Autoplayed: user action: None; ,Christmas Wonderland_hook_primary_16x9,HOOK,Hisense MTK5657 on UHD platform Smart TV,00:00:14,00:00:14,ZA (South Africa)
Tania,2020-11-04 15:48:15,01:26:41,,A Wedding for Christmas,,Hisense MTK5657 on UHD platform Smart TV,01:26:41,01:26:41,ZA (South Africa)
Tania,2020-11-04 13:54:12,01:24:27,,Christmas Under Wraps,,Hisense MTK5657 on UHD platform Smart TV,01:24:16,01:24:16,ZA (South Africa)
Tania,2020-11-04 12:31:42,00:42:05,,Christmas Made To Order,,Google Chromecast streaming stick,01:24:33,01:24:33,ZA (South Africa)
Tania,2020-11-04 12:31:18,00:00:01,,Christmas Made To Order,,DefaultWidevineAndroidPhone,00:42:28,Not latest view,ZA (South Africa)
Kenzou,2020-11-04 11:55:34,00:29:46,,Dragons: Rescue Riders: Hunt for the Golden Dragon,,Google Chromecast streaming stick,00:29:46,Not latest view,ZA (South Africa)
Tania,2020-11-04 11:46:32,00:07:02,,Christmas Made To Order,,Google Chromecast streaming stick,00:42:28,Not latest view,ZA (South Africa)
Antonio,2020-11-04 07:00:34,00:02:17,Autoplayed: user action: None; ,The Big Bang Theory: Season 11: The Proposal Proposal (Episode 1),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:03:09,Not latest view,ZA (South Africa)
Antonio,2020-11-04 06:41:37,00:18:52,Autoplayed: user action: Unspecified; ,The Big Bang Theory: Season 10: The Long Distance Dissonance (Episode 24),,Hisense DB MSD6586 4.3 on UHD platform Smart TV,00:19:07,00:19:07,ZA (South Africa)
